Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2023,aston martin,ASX,Aston Martin,Vantage V8,600TT6106,0,4.000,KASXV04.0AES,Car,503,8,177950,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,2.93,24.1,1,Not eqipped,KASX10053280,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0261000,0.1600000,393.7600000,0.0150000,0.0004100,0.0061600,0.0064000,22.5,MPG,22.0610000,21.5655000,25.1975000,,-6.5600000,-5.3100000,-2.5500000,40.940,0.0169,0.027100,9.210,0.07290,0.024200,TWC,Three-way catalyst,N,,,N,No averaging
2023,aston martin,ASX,Aston Martin,Vantage V8,600TT6106,0,4.000,KASXV04.0AES,Car,503,8,177950,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,2.93,24.1,1,Not eqipped,KASX10053301,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0085000,0.0800000,259.0400000,0.0440000,,0.0029000,,34.3,MPG,,,,,-9.4200000,-8.1700000,-2.1700000,40.940,0.0169,0.027100,9.210,0.07290,0.024200,TWC,Three-way catalyst,N,,,N,No averaging
2023,BMW,BMX,BMW,228i Gran Coupe,7F72606,0,2.000,MBMXJ02.0B4X,Both,228,4,B46A20O1F44S,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3750,2.95,27.4,1,Not eqipped,MBMX10066519,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0066450,0.2468089,278.7595253,0.0024674,,0.0012075,0.0000974,31.5,MPG,30.1827419,31.3991673,32.6334241,,1.8777509,1.2294827,-0.5189583,36.300,0.0430,0.018230,18.100,0.00900,0.018230,TWC,Three-way catalyst,N,,,N,No averaging
2023,BMW,BMX,BMW,228i Gran Coupe,7F72606,0,2.000,MBMXJ02.0B4X,Both,228,4,B46A20O1F44S,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3750,2.95,27.4,1,Not eqipped,MBMX10066520,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0006490,0.0029978,175.4953204,0.0023005,,0,,50.2,MPG,,,,,4.9086058,3.6863503,-0.7241056,36.300,0.0430,0.018230,18.100,0.00900,0.018230,TWC,Three-way catalyst,N,,,N,No averaging
2023,BMW,BMX,BMW,228i Gran Coupe,7F72606,1,2.000,MBMXJ02.0B4X,Both,228,4,B46A20O1F44S,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3750,2.95,27.4,1,Not eqipped,MBMX10066437,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0050199,0.2178812,287.6702787,0.0021871,,0.0009271,0.0001464,30.5,MPG,29.3779033,30.6320866,31.2650652,,0.0977668,-0.1607076,-0.9348916,47.300,0.0670,0.017810,26.800,0.22800,0.015640,TWC,Three-way catalyst,N,,,N,No averaging
2023,BMW,BMX,BMW,228i Gran Coupe,7F72606,1,2.000,MBMXJ02.0B4X,Both,228,4,B46A20O1F44S,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,3750,2.95,27.4,1,Not eqipped,MBMX10066440,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0000300,0.0015000,191.3054000,0.0021000,,0,,46.0,MPG,,,,,4.8380000,3.3880000,-0.3630000,47.300,0.0670,0.017810,26.800,0.22800,0.015640,TWC,Three-way catalyst,N,,,N,No averaging
2023,BMW,BMX,BMW,228i xDrive Gran Coupe,7D46114,0,2.000,LBMXJ02.0B4X,Both,228,4,B46A20O1F44X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,3875,2.95,27.4,1,Not eqipped,LBMX10062748,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0073892,0.1843343,296.4722894,0.0048707,,0.0011585,0.0008847,29.7,MPG,27.8056412,29.7824520,30.7947359,,0.8247190,0.6517522,-0.5508383,41.300,-0.1050,0.019650,0.300,0.09200,0.016930,TWC,Three-way catalyst,N,,,N,No averaging
2023,BMW,BMX,BMW,228i xDrive Gran Coupe,7D46114,0,2.000,LBMXJ02.0B4X,Both,228,4,B46A20O1F44X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,3875,2.95,27.4,1,Not eqipped,LBMX10062749,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0004115,0.0010223,182.9377615,0.0036324,,0.0000395,,48.0,MPG,,,,,-0.9458230,-1.4655840,-1.1639887,41.300,-0.1050,0.019650,0.300,0.09200,0.016930,TWC,Three-way catalyst,N,,,N,No averaging
2023,BMW,BMX,BMW,228i xDrive Gran Coupe,7D46114,1,2.000,LBMXJ02.0B4X,Both,228,4,B46A20O1F44X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,3875,2.95,27.4,1,Not eqipped,LBMX10062750,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0005331,0,194.3658064,0.0048682,,0.0002190,,45.3,MPG,,,,,0.8745010,0.9241560,-0.8169575,52.500,-0.0800,0.019680,12.400,0.05900,0.017110,TWC,Three-way catalyst,N,,,N,No averaging
2023,BMW,BMX,BMW,228i xDrive Gran Coupe,7D46114,1,2.000,LBMXJ02.0B4X,Both,228,4,B46A20O1F44X,SA,Semi-Automatic,8,Y,A,All Wheel Drive,2,Top gear ratio < 1,3875,2.95,27.4,1,Not eqipped,LBMX10062751,MFR,No,,,,,31,Federal fuel 3-day exhaust,61,Tier 2 Cert Gasoline,FTP,0.0070675,0.1985082,302.3054144,0.0092353,,0.0011716,0.0010109,29.1,MPG,27.5270691,29.0937158,30.1670278,,-0.8093587,-0.4956958,-0.6234334,52.500,-0.0800,0.019680,12.400,0.05900,0.017110,TWC,Three-way catalyst,N,,,N,No averaging
